savjetodavno tijelo	advisory body
liticama	cliffs
varijanta	version
at skup naredbi	at command set
obavijest sadrZana u protokolu	protocol information
drZavni zavod za statistiku	croatian bureau of statistics
vektorski kvantizator s konaCnim brojem stanja	finite state vector quantizer
mami	luring
jednadžbe kompatibilnosti	equations of strain compatibility
limski kanal	lim chanal
protekcija	protection
suradnja u vezi s nedopuStenim drogama	cooperation on illicit drugs
nastaviti	resume
uneseni dobitak	insertion gain
naCin sluCajnog pristupa	random access mode
mali gutljaj	sip
ugoditi	suit
noGna kapica	night cap
kumin	cumin
proviDenje	providence
abecedni rjeCnik	alphabetical dictionaries
prekinut	interrupted
nesnoSljiv	intolerant
proraCun kratkih spojeva	short circuit calculation
rasteretni element (u optiCkom kabelu)	central supporting element
poslovno raCunalo	business computer
detektori Cestica	particle detectors
nagrizati	gnaw
sasijecanje	curtailment
kumir	idol
zakon o poljoprivrednom zemljiStu	agricultural land act
odljev kapitala	outflow of capital
izvrSilac	executor
sklapati	assemble
poslati na izloZbu	to consign for exhibition
croation trade union of postal workers	hrvatski sindikat poSte i telekomunikacija
oblikovanje proizvoda od drva	wooden products modelling
poliakrilati	polyacrylate
grobni nalazi novca	grave finds of coins
ultraljubiCasto podruCje	ultraviolet band
uglaCavanje	smoothing
iznuren	wan
naselja otvorenog tipa	open-type settlements
zimovanje	wintering
iskljuCiva povlastica	monopoly
nastavniCki stres	teacher job-stress
spajanje suCelicom	butt joint
zaokruZen	rounded
Gromiting	air show
galerija u osijeku	gallery in osijek
reCenice	sentences
prostorna sponja	panting beam
reCenica	sentence
potpuno suprotan	polar
cigarete bez filtera	plain cigarettes
reunion	réunion
adsorptivna akumulacija	adsorptive accumulation
laZirana utikmica	set-up
koji citira samog sebe	self-referential
bistriti se	clear up
mijeSani metalni oksid	mixed metal oxide
nadzorni znak	control character
serija podataka	data series
jezgrasta elastomerna preDa	cover/core yarn
gajtan	trunk
elektroniCki posrednik	electronic broker
sahraniti	tomb
rimska provincija dalmacija	the roman provinces of dalmatia
opekarske gline	brick clay
Sumovitu	wooded
toksiCnost	toxicity
puStati korijenje	root
slijedne pretrage	linear search
Sumovito	wooded
obrijati	to shave
izraZava zabran	no
mali privatni avion	cub plane
Sumovita	forested
humani citokrom	humane cytochrome
voDenje	walk through
nekropole	ways
biokonvezija	bioconversion of 2
podruCje radne temperature	operating temperature range
kalendarski	calendar
koji sjedinjuje	unitive
suspenzija pomoGi	suspension of aid
usvajanje tehnika uCenja	learning to learn
nova putanja	new path
umnoZak (relacijski operator)	cartesian product
dobiti vlast	overrule
zaluDenost	fondness
intenzivnoj	intensive
razlomak-obiCan	vulgar fraction
vegeta	vegeta
bijeli Sum	white noise
Sirina frekvencijskog podruCja	bandwidth
tajvan	taiwan
pljesniv zadah	fug
vremenski horizont	time span
sveti	saint
koji ne pita	unquestioning
fotonaponski	photovoltaic
fond za vodoprivredu	city fund for water management
pahuljasto	fuzzily
metalizacija i presvlaCenje	bonding and coating
alat za zakivanje	riveting tool
Stednja energije	energy saving
binarni postupak prilagoDavanja ponovnog prijenosa	binary backoff procedure
gorStak	mountaineer
prekovremena radna snaga	back up force
meDusobna odbojnost	mutual repulsion
istjerivaCi troSkova	busters
gornji pritoci rijeke	head-waters
CistaC cipela	shoeshine boy
isijavanje	radiation
jezik treGe generacije	third generation language
reGi tajnu	divulge
usamljenost	solitude
akatalaktiCan stih	acatalectic
velika vatra	serious fire
primatelj molbe	requested authority
onaj koji stavlja na kartu	punter
promjena naziva	reformulation
osnovni slog	base record
krckanje	crunch
baltiCki	baltic
pogasiti	extinguish
biblijska kritika	biblical criticism
zakrivljen	slanted
trudeGi	endeavouring
orijentacija molekula u prostoru	molecular orientation
multipleksiranje po valnim duljinama svjetla	wavelength division multiplexing
luka	span
za vrijeme praznika	holiday job
carinska koncesija	tariff concession
uobiCajenost	ordinariness
korektan	decent
apstraktna sintaksa	abstract syntax
superoksid dismutaza	superoxide dismutase
upravljanje putovima	routing
vidljivi	evident
negativni odziv	negative resistance
vidljivo	visualized
reSeto	sieve
namjeStaja	furniture
zakon a	a law
srednji sloj	middle class
uCiniti Zrtvom	victimize
adsorpcijska izoterma	adsorption isotherm
suodluCivanje	co-determination
poraZen	smitten
nastavna reforma	curriculum reform
stovariSte	yard
jednog biljka	annual
govor kroz nos	snuffle
armatura	stiffener
trbuhozborac	ventriloquist
socijalne determinante odliva	social determinantes of drain
otrovanje plinom	gas intoxication
socijalna sigurnost	social security
luCki grad	port
uzvratiti	turn around
fakturiranje	invoicing
tri puta	thrice
parniCni postupak	law proceedings
rekreativni	recreation
analogno sklapanje	analog switching
kormilariti	steer
navigacijska tipka	navigation key
ostava	utility room
analitiCko odreDivanje	analytical determination
ostave	hoards
Carobnjak za upit	query wizard
kaotiCki	chaotic
vazalan	liege
opis sluCaja	caseload
pedagoSka kultura uCitelja	pedagogical culture of teachers
lanCana veza	daisy chain
od sira	with cheese
stambena zadruga	housing cooperative
u vlasniStvu	owns
nkp eu	eu nac
zujavac kamenjar	ruddy turnstone
implikacijski problem	implication problem
riDast	roan
ravnodnevnica	equinox
Sminkati	make-up
molekularna fizika	molecular physics
moguGnosti obrazovanja odraslih	adult education opportunities
pagoda	pagoda
Cvor roditelj	ancestor node
nominativni	nominative
etno	ethno
anodni elektrolit	anolyte
biti sadrZan	to be given
iko	anybody
deionizirana voda	deionized water
naruCivanje	ordering
duljina nepca	the length of the pallate
publicistika	publicist writing
energijska potroSnja	energy consumption
dvomodna naglavna mikrotelefonska kombinacija (npr	dual - mode handset
politika Sumarstva	forestry policy
imati predavanje	have a lesson
ispravan postupak	algorithm
uzrocima	causes
dualist	dualist
dodirni zaslon	touch screen
prikljuCak na telefonski kanal s prilagoDavanjem r	programmable network connection
tretman ponaSanja	behavior tretment
faktor pojaCanja	amplification
melodija	tune
Zupanija karlovaCka	county of karlovac
prokockati	gamble
afrika portugalskoga govornoga podruCja	portuguese-speaking africa
sidro bez preCke	stockless anchor
meDusobnu	each other
diferencijalni (integralni) raCun za komunikacijsk	calculus of communicating systems
niska prednost	low priority
arhipelag	archipelago
kontrolirana agresivnost	controlled aggression
ZeljezniCki prag	tie
kolonu	colon
vanbraCan	illegitimate
prividnosluCajno prepletalo	pseudorandom interleaver
antartik	antarctica
meDusobni	mutual
malobrojan	meager
poimeniCno glasovanje	roll-call vote
escb	escb
connacht	connacht
kablovska stopica	spade clip
izgladnjenje	starvation
padobranac	parachutist
kolut s lopaticama	impeller
dizelsko gorivo	diesel fuels
brod za smrznuti teret	frozen cargo ship
hotelska soba	room
hrvatsko gospodarstvo	croatian economy
meDujeziCne usporedbe	interlingual comparation
rasip	fringing
zauzimati	sit
umirovljeni profesor	emeritus professor
laos	laos
armija	army
vezni	linkage
afrasec	afrasec
fermentacijski	fermentation
imunozaStita	immune protection
osoba koja zalaZe	pawner
uvala soline kod rogoznice	soline cove near rogoznica
vrste podataka u sustavu	system data types
omaciti	kitten
gusto naseljen	populous
umetnuti objekt	insert object
karbonska pisaca vrpca	carbon ribbon
bajuneta	pike
mozak	pate
formalno obrazovanje	formal education
proboj	penetration
javna zemaljska pokretna mreZa	public land mobile network
magistrala	main
soba	suite
Skriljavac	schist
federacija bosna i hercegovina	federation of bosnia and herzegovina
probod	puncture
objektno usmjereno dizajniranje	object-oriented design
termiCki stimulirana struja	thermally stimulated current
asinkroni prijenos	start-stop transmission
zasuti pijeskom	sand
ishodnica	daughter cell
fuj	pooh
kruti rasuti teret	dry bulk
multidisciplinarni pristup	multidisciplinary researches
punopravan	full
apstinencija	abstinence
korekturno Citanje dokumenata	proofreading documents
prirodni	innate
pretpostavljati	ween
gdje?	where?
botriticidi	botryticides
gramatiCki analizator	parser
okretni	slewing
multipleksor s dodavanjem i ispuStanjem	add-drop multiplexer
okretno	nattily
centa	cent
materijalistiCki	materialistic
koksirati	coke
zlatarski znak	hallmark
gleZnjaci	leggings
cijelom	entire
ogib	edge effect
kemijsko inZenjerstvo	chemical engineering
nepreraDen	crude
botulinum toksin	botulinum toxin
drvo	wood
tlak injektiranja	injection pressure
bojna kola	chariot
retrospektiva	retrospective
ugaono gvoZDe	angle bar
naCiniti	work
stimulirano zraCenje	stimulated emission
motiviraju	motivated
rezno ulje	coolant
ploCa koSa	backboard
periodiCnost	periodicity
zdepast	stubby
granica faza	phase interface
morfoloSke karakteristke	morphological characteristics
izvanparniCno pravo	extra-contentious procedural law
polimeri	polymers
jednjaCki	esophageal
prozor s upozorenjem	alert box
online uCenje	online learning
biskupije	diocese
neaktivnost	inactivity
biskupija	diocese
vino pojaCano alkoholom	fortified wine
epipaleolitik	epipaleolithic
zavrijediti	deserve
fruktozamin	fructosamin
pedagoSki	pedagogic
neZenja	stag
holandija	holland
pedagoSka	pedagogical
halva	paste
izraziti osmijeh	smile
ovisnik	drug addict
obrazac zahtjeva	application form
genetski algoritam	genetic algorithm
sporazum ez-a o suradnji	ec cooperation agreement
hagiografija	hagiography
diskretna simetrija	disgrete symmetry
prikraGivati	derogate
zamjetljiv	perceivable
podijeljenost	division
promocijski	promotional
pripremljenost	readiness
Skrto	stintingly
u trenutku t	at time t
Stetovna osiguranja	indemnity insurance
razdijeliti valjak	split platen
mjeraC jaCine signala	s-meter
na osnovi erga omnes	on an erga omnes basis
funkcionira	it works
dogovoriti se o potrebnim metodama	agree on the necessary methods
strani kljuC	foreign key
ljutika	scallion
industrijske komunikacijske mreZe	industrial communication network
sintaktostilistika	stylistics
eksperimenti	experimentation
iskliznuGe	slip
obvezivati	bind
enea	enea
zakvaCiti konopcem	belay
programska oprema namijenjena razvoju aplikacija	application generator
grnCarija	pottery
mreZa koja prenosi pakete samo vlastitih korisnika	stub network
anti-retrovirusni lijek.	anti-retroviral drug
malezija	malaysia
opsjedati	siege
iniciran	initiated
prednja strana	front
predijabetes	prediabetes
prospojni Cvor	switching node
hura iju	huzza
popisni	listed
usmjerivaC razaSiljanja	mrouter
karbidka	carbide lamp
alergije	allergies
devijantan	deviant
alergija	allergy
u pogledu	with respect to
socijalistiCki	socialistic
narkotiCan	narcotic
uGi u igru	enter the game
uzdrmati se	unsettle
vezane ponuda	package offer
leukoplakija	leukoplakia
dramaturgija.	dramaturgy.
razmaziti	cosset
volt	volt
peludni kalendar	pollen calendar
neCovjeGnom	inhuman
meteoroloSki faktori	metroorological factors
hajde	get away
koncipirati	draft
ne svijetli	unlit
vrlo vaZno	big deal
izolovana taCka	acnode
pasati	fit
domaGe pravo	domestic law
investirati	invest
duljina ZariSta	focal length
binaran	binary
demoraliziran	demoralized
tehnika aloha	aloha technique
polumjer savijanja (optiCkog vlakna)	bend radius
vrijeDati se	resent
kimnuti glavom	nod your head
sredinama	environments
ukupan	total
planinska zeba	brambling
multimodalni promet	multimodal transport
raspitivanje	query
telekomunikacijska industrija	telecommunications industry
skupina raCunala za razaSiljanje poruka	multicast cluster
kancelarijski	bureaucratic
bazelska konvencija o kontroli prekograniCnih kret	basle convention on the control of transboundary m
ujediniti se	unite
tekstualan	textual
postupak natjecanja (stanica) za znak	claim token process
poslovno izvjeSGivanje	business intelligence
europski fond za monetarnu suradnju	european monetary cooperation fund
imenovani	named
ekonomisti	economists
ZivCani slom	neurosis
meDuokvirno kodiranje	interframe coding
cementiranje zaStitnih cijevi	casing cementing
tragovima	traces
svanuGe	daylight
imenovane	named
olimpijski sport	olympic sport
mnogostrukost zastava	flag variety
kursori	cursors
Skoljkasti vapnenjak	shell deposits
vrijeme od 24 h	time of day
postoji mnogo studija	there are numerous studies
kvar komponente	component failure
zapremina u jar	yardage
memorija za ubrzavanje pristupa podatcima	memory cache
pokazivaC razine	level indicator
s jednakim uCinkom	having equivalent effect
elektroniCki sklopovi	electronic circuits
izvojevati	conquer
punjenje boca	bottling
mali brodski Camac	cockboat
krvno-moZdana brana	blood-brain barrier
razne naredbe	miscellaneous instruction
arhitektura suZenog skupa naredaba	reduced instruction set computing architecture
gambit	gambit
viranje	heaving
kozmiCki elektricitet	astrionics
zaSto	why
bor u magnezij oksidu	boron in magnesium oxide
uokviren	framed
subdijalekt	subdialect
pravo o izvrSavanju kaznenih sankcija	law relating to prisons
rascvjetan	prosperous
prirodno aktivna zemlja	naturally-active earth
sklupCati se	squat
carinske povlastice	tariff preferences
radni sklop	operating record
novac u promet	currency
individualna cijena	individual price
park prirode biokovo	biokovo nature park
sustav obraDivanja zemljiSta	cultivation system
otimaC	extortioner
koji daje zvuk	sonorific
sitniGa	smallness
integriranih	integrated
samopoZrtvovnost	self-sacrifice
zoohigijenski	zoohigienic
veliCina koraka	step size
uzvrpoljen	fidgety
morati	ought
postiljon	post boy
morate	have to
oCna veznica	conjunctiva
neuroendokrine stanice	neuroendocrine cells
prenosivost lokalnog (telefonskog) broja (pri prom	local number portability
prevoditelj	translators
vulkanologija	volcanology
bolomjer	dolorimeter
podvostruiCiti	double
i tako dalje	etc.
lonCar	rock nuthatch
ako je prikladno	where appropriate
oCit	self-evident
razmaknica	spacebar
paraboliCno pravilo	parabolic rule
iscpljuljujuGih	exhausting
hrabro	enterprising
ograDen	enclosed
vjeStaCka vuna	shoddy
istraZivanje nafte	petroleum exploration
vatrogasna sluZba	fire-department
Spekulacija	speculation
nazivni faktori	rating factors
zgrada na Grodromu	airport building
koji sijeva	flashing
izravni pristup internetu	internet direct access
tiskani kontakt	tab
kulturologija	culture studies
rezolucija mjeraCa vremena	clock resolution
komandosi	rangers
zapreCni	blocking
u iSCekivanju	emanating
ufanje	hope
usluZivanje putem telefona	teleservicing
neuronsko raCunalo	neurocomputer
Cujan	audible
prezirno gledati na	to smile at
grana stabla	traversal
kut za sapun	soap box
gradska lasta	house martin
vrsti se naokolo	move about
sterilan	sterile
gadolinij	gadolinium
eksces	excess
povijestima	histories
jetra	liver
pokrenuti program	to establish a programme
protokol pristupa putem satelita	satellite access protocol
objelodanjenje	revelation
etui	etui
suburbani hoteli	suburban hotels
heterotrofni nanoflagelati	heterotrophic nanoflagellates
etuc	etuc
paket indikacije raskidanja	clear indication packet
apeksni foramen	apical foramen
neobraDeni podaci	raw data
koriStenje logaritama	using logarithms
ortogonalne dimenzije	orthogonal dimensions
naredba nije uspjela	command failed
mlaDi sin	cadet
konkretan	the
okomiti reaktor s nasutim slojem	vertical packed-bed reactor
cijelom duZinom	aboard
brzo Sifriranje podataka	fast data encipherment
stanovnik juga	southerner
grCevi	fit
jaje na oko	poached egg
naloZiti	order
oCuvanje	protection
protivljenje	resistance
cikliCki gvanozin monofosfat	cyclic guanosin monophosphate
preventivno odrZavanje	preventive maintenance
gulaS	goulash
mrlja	taint
pljuvaCka	sputum
Stetnici	pests
jednoredan	single breasted
podlost	villainy
procijenjena vrijednost	appraisal value
umirivati	soothe
prazno mjesto	void
bila je	were
afriCka unija	african union
evidentiranje	registration
monetarni odbor ez-a	ec monetary committee
sposobnost kucne centrale biranja potpunog vanjsko	repertory dialing
lobotomija	lobotomy
ishlapljeli sok	evaporated cane juice
turski jezik	turkish language
kratkog dosega	short-range
pokrenuti raCunalo	start up
prijemCiti	quilt
ZuGkasta sirena	yellowish horn
raditi komu o glavi	attempt
graver	engraver
informacijski okvir	information frame
huminske i fulvinske kiseline	humic and fulvic acids
dokaz valjanosti	validation
agregatni iznos Steta	aggregate claim amount
niz znakova	character sequence
napuStanje teksta	canceling text
potvrditi svoje opredjeljenje	to affirm one's commitment
makinalan	mechanical
ljudska i graDanska prava	civil and human rights
isticanje sintakse	syntax highlighting
redovno stanje	par
je poslan	was sent
nekuhan	uncooked
osnovna naCela	first principles
ozima pSenica	winter wheat
bogohuljenje	sacrilege
brokerski novCani poslovi	money broking
stabilni izotop	stable isotope
modernizacija flote	modernization of fleet
neonatalni pankreas	neonathal pancreas
zlatari	goldsmiths
funkcija za razmjenu informacija	mediation function
upravitelj imanja	steward
drastiCno	drastically
otklon snopa (zrake)	beam deflection
mirovinski	pensionary
povratna veza	feedback
komadiG olova	plumb
favory torta	favory cake
prijenosna brzina	transmission speed
rimska provincija panonija	roman province of pannonia
jednjak	oesophagus
dozvoliti	yield
obveza prodavaCa	seller's responsibility
istraZivaC interneta	surfer
servis odozdo	underhand serve
eksplikacija	explication
paZljivo istraZivati	scrutinize
epozootiologija	epizootiology
obostrane koncesije	mutual concessions
izvedbeni program	executive program
gonadotropni mehanizam	gonadotropic mechanism
vitez u Sah	knight
religijski identitet	religious identity
razbludan	voluptuous
preruSavanje	disguise
veliCina osnove	base size
tovariti	load
roditeljska odgovornost	parental responsibility
samodovoljan	self-contained
stjecaj	juncture
armatura graDevinska	reinforcement
distribucija	release
greSka pri pisanju	erratum
parametri vodonosnika	aquifer's parameters
signalna adaptacija	signal adaptation
industrija gume	rubber industry
kaptolski	capitular
ZeGi	bake
podruCje zaglavlja	heading
zaStiGen	shielded
Stanca	press-cutter
uvijen gleZanj	twist
zraCnini	airy
zagrebaCki elektriCni tramvaj	zagreb municipal transit system
ovlaSteni predstavnik	authorised representative
ime raCunala	host name
laktaS	upstart
autokorelator	autocorrelator
koji se diZe	rising
rogovlje	antlers
zaustavna moG iona	stopping power
danju	by day
sojenica	houses on stilts
donje rublje	undies
specijalizirani sud	court having special jurisdiction
prepreden	wily
mreZa s razaSiljanjem poruka	broadcast network
certificate of entry	coe
induktivitet	induktance
povrtnjak	vegetable garden
uCitavanje operativnog sustava	booting
Zitelja	citizens
potvrda o plaGenoj carini	docket
drZavni tajnik	state secretary
digitalna frekvencijska modulacija	frequency shift modulation
slavina	tap
Zitelji	inhabitants
pokapati	bury
kristalan	crystalline
identifikacija jednadžbi modela	identification
ljutiti	worry
vodovod	waterworks
puCanin	commoner
potvrdili	reaffirmed
kolegijalno vijeGe	collegiate council
ljutito	angrily
slobodni hod	play
namet	rate
paket nepromjenjive duljine	fixed length packet
toCka pohrane (transakcija)	savepoint
pristupno kaSnjenje	access delay
telefonirati	telephone
poslijepodne	post meridiem
desna uzda teretnog ureDaja	starboard guy
rasulo	ruin
troSku	expense
onaj koji kaZnjava	punisher
Spageti sa puretinom na crveno	spaghetti with turkey meat in red sauce
veZa	gateway
klauzula o ovlasti vodeGeg reosiguravatelja	respect the lead clause
republika estonija	republic of estonia
graditeljstvo instrumenata	lutherie
alfa amilaza	alpha-amylase
tehnoloSki proces	technological process
stado	herd
upravljanje internetom	internet management
SetaC	walker
antropofagija	anthropophagy
mnogostrukost	variety
klavijatura	keyboard
luka u koju je dozvoljen iskrcaj robe za odreDenu	port of entry
republika moldova	republic of moldova
ulv rastav	ulv decomposition
koji zamjenjuje	makeshift
morsko dno	sea-bed
detekcija Sumskog poZara	forest fire detection
bioetika	bio-ethics
nerijeSenih	unresolved
teretnica bez prava prekrcaja	direct bill of lading
decentralizirana	decentralised
konjska guzica	horses ass
druStveni red	order
prestraSen	terrified
satelitska dna	satellite dna
nafta	petroleum
neumreZena mapa	offline folder
ogledni uzorak	sample preview
postupak raCunanja koji rabi analitiCke i numeriCk	hybrid method
brzo propadanje	tailspin
orijentalni misteriji	oriental mysteries
uCahurivanje	encapsulation
apolitiCan	apolitical
srednja europa	central europe
centriran	centred
uplitati se	intermeddle
bibliografske biljeSke	bibliographical notes
sjeverni jelen	elk
stupanj preraDenosti	degree of processing
pouCavatelj	tutor
mrk pogled	scowl
petrovo uho	abalone
antropogeni utjecaj	anthropogenic influence
hrvati se	wrestle
genovska ciklona	genoa cyclone
dna analiza	dna analysis
udovoljavanja	satisfying
dokuCiv	reacheable
neplaGen	unpaid
restitucija	restitution
pogled	view
liberalnost	liberality
bioturbacija	bioturbation
istanCanost	subtlety
vezati	to tie
brodski energetski sustav	marine power plant
puSi kurac	suck my dick
adaptivno nelinearno voDenje	adaptive nonlinear control
elektroenergetska mreZa	mains
opcija koja daje pravo na prodaju	call option
periferijski	peripheral
patentirane jedinice	patent leters
frak	tail-coat
glaCalo	smooth-iron
inverzni multipleksor atm	atm inverse multiplexer
giberelin	gibblerellin
priobalni vodotok	coastal aquifer
obuCavanje	training
oCiSGen	strained
Zupanija splitsko-dalmatinska	county of split-dalmatia
omjer zamjene	replacement ratio
stara grCka knjiZevnost	ancient greek literature
pogurati u vis	boost
xanthum ZvakaGe	xanthum gum 
odgojne vrijednosti	educational values
kongenitalna	congenital
zaStitno komutiranje	protection switching
pc elektroniCka raCunala	pc electronics computers
troSkovi domaGih resursa u proizvodnji	domestic resource cost
jugoslavenka	yugoslav
povrSina nalij	bearing area
viraj sidro	heave in anchor
auto-stopist	hitch-hiker
elektroniCka trgovina	electronic commerce
ostati sjediti	sit out
dijafiza	diaphysis
ubiranje poreza	tax collection
gutanjem	ingestion
faksimil terminal	facsimile terminal
svinjska korica	pork rinds
dragovoljno	voluntary
odsedlati	unsaddle
tekstilna biljka	textile plant
kraljica	queen
kibernetiCko modeliranje liCnosti	cybernetic modelling of personality
usluZni bitovi	service digits
antineoplastiCki lijekovi	antineoplastic drugs
podruCje p	p band
pravno	juridical
transmodulacija	transmodulation
spreZni sklop	interface
fir filtar	fir filter
regularno vrijeme	regular time
obnova vodotoka	river rehabilitation
europska neuroembrioloSka mreZa	european neuroembryological network
kanaDanka	canadian
gornji dio dresa	jersey
njuSkalo	sniffer
model prometa (putem satelita) izmeDu vrlo udaljen	vsat traffic model
ptica pjevaCica	songster
la	la
znanstvena knjiZnica	scientific library
stalni odbor un-a	un standing committee
arijadnina nit	ariadne's thread
nadzor presluSavanja	mobile crosstalk control
gvardijan	abbot
usmjere prijem	beaming
emocionalna kompetencija	emotional competence
zaviti	wrap
novi vijek	the modern age
benztiazol	benzothiazole
vodljivi sklop	conducting coating
invencija	invention
osnovno raCunalo	host computer
teret potonuo ili izbacen na obalu	jetsam
komponentni video	component video
urbana obnova	renovation
kiosk za prodaju novina	news stand
procjena stanja	estimation
impatt dioda	impact avalanche transit time diode
bris po izlazu	blank after
zabavom	entertainment
kokosovo mlijeko	coconut milk 
krvne Zile	blood vessels
ureDaj za mjerenje na daljinu	telemeter
Gubasta sjenica	crested tit
automatsko podeSavanje Sirine	autofit
fi-dijagrami	phi-diagrams
dvokut	biangle
vijeran	loyal
privreDivalo	earned
lonCarstvo	pottery
nadviSenja	altitude
gospodarenje prostorom	area management
analizirati reCenicu	parse
Sira slika	bigger picture
otkuda	wherefrom
baziCni principi	basic principles
grobni humci	tumuli
fiziCki kanal	physical link
usamljeni peSak	isolated pawn
otporan na plamen	flameproof
izboCenost	salience
maksimalno vrijeme nastavljanja odaSiljanja (da se	maximum jam time
c-14 datiranje	radiocarbon dating
maramica	tissue
generirale	generated
umreZavanje	networking
ustati	stand up
preslika	replication
postojan	true blue
vojna okupacija	military occupation
treGa cifra	c-digit
baptisteriji	baptisteries
koji se moZe dostaviti	deliverable
streliSte	shooting range
nesvezno	connectionless
angaZirati	involve
opseg oznaka kn	coverage of the cn codes
povreditelj	violator
promjeru	diameter
slobodama	freedoms
ljestvice	ladder
uspjeSnica	hit
obavljanje samostalne djelatnosti	activity as self-employed persons
nepovjerenje	unbelief
mreZa Sirokog podruCja	wide-area network
dijakritiCki	diacritical
isplatni akreditiv	sight credit
cijena za voZnju	carriage
brzo rastu c i niz	super increasing sequence
priCuva	reserves
pomoGna sluZba	subsidiary
integralni promet	integral traffic
plagijat	plagiary
osloboDen optuZbe	acquitted
oklijevajuGi	lingeringly
atriju	atrium
lokalna matrica konaCnih elemenata	local finite element matrix
humanitranim	humanitarian
interaktivni raCunski model	interactive computation model
teorijska kemija	theoretical chemistry
zavjeSivanje	hanging
odredba o kumulaciji	cumulation provision
datoteka aplikacije	application file
ulazne	incident
elastika	elastic
zauzeli	taken
sjedinjene drZave	united states
pristaniSte	wharf
trgovanju	trafficking
segmentacija trZiSta osiguranja	insurance market segmentation
udruZen u federalnom savezu	federate
suCeljni	butt
nulti red	zeros order
osnovati odbor	to establish a committee
augmentacija	augmentation of honour
smanjenje kazne	reduction of sentence
konusni zupCanik	bevel gear
nepravilan zavrSetak	abnormal termination
programske datoteke	program filename
finesa	finesse
snimljeno od strane	saved by
eurokredit	eurocredit
polimerni dodaci betonu	polymer admixtures
upleteni dvoZilni kabel	twisted-pair cable
leptirasta matica	winged nut
strogo definirana baza	stringent basis
osnivanje stranke	formation of a party
refren	refrain
zavrSni dio (paketa)	trailer
biti u radnom odnosu	labour
pravila neposredne primjene.	directly applicable rules
visokonaponska sonda	high voltage probe
izmjeniCni	alternating
modificirana dihidroksi-etilenurea	modified dimethylol-dihydroxi-ethylenurea
djeCjom	kid's
doGi do kraja	culminate
pretvaranje u kiselinu	acidify
seoska cesta	country road
audiovizualna komunikacijska politika	audio-visual communications policy
praktiCni rad	practice
strukturna fluktuacija	structural fluctuation
kupovati	shop
hajduk	outlaw
navesti uvjete	to set out conditions
nesrazmjeran	unequal
protuprigovor	counterplea
informatiCko povezivanje klastera	it networking for clusters
paketizator/depaketizator stanica atm	atm cell packetizer/depacketizer
genetiCko savjetovanje	genetic counselling
pomorske elektrotehniCke i informatiCke tehnologij	maritime, electrical and information technology
remek djelom	masterpiece
slabaSno	pulingly
filistarski uskogrudan	smug
postaviti vrstu linije	set line style
ekvivalent u standardnom jeziku	standard language equivalent
posluZnik elektronske poSte	mail server
katalog djela	catalogue of works
zahtjev za provjeru	verification request
cigaretna industrija	tobacco industry
lijevati	pour into
rasjeCna matica	clasp-nut
radija	radio
metabolizam tumora	tumor metabolism
odmicanje	lapse
granice zapaljivosti	flammable limits
podnesen	submitted
utrkivati se	vie
univerzalni pristupni broj	universal access number
kleveta	slur
prijateljstva	friendship
dizalica za brodice	boat crane
statistiCka opravdanost	statistical justification
atm veza medu ravnopravnim sudionicima	atm peer-to-peer connection
pomajka	stepmother
gigabit	gigabit
poCetni broj	start at
elektromagnetska kompatibilnost	electromagnetic compatibility
kooperativno	cooperatively
gornje kritiCno polje	upper critical field
prijestupnik	violator
jednokratna gotovinska uplata	immediate cash injection
Siroko razlazni	wide-angle
uresom	adornment
nastupajuGi	comming
prostirati	spread sheet
standardi meDusobnog djelovanja	interoperability standards
apis	apis
birana linija	dial-up line
saponini	saponins
digitalni telefon	digital telephone
unaprijed spremiti	prestore
prorektorski	provost
klinac za potkove i za cipele	hobnail
integralni operatori s jezgrama	integral operators with kernels
poraZavajuGi	crushing
tapit	mat
aditiv	agent
prisilne migracije	forced migration
tematska revizija	thematic review
srednja azija	central asia
nanokristaliniCni materijali	nanocrystalline materials
maligna hipertermija	malignant hyperthermia
iznos u eurima	amount expressed in euro
osnovni proizvod	basic product
povoljniji uvjeti	more favourable treatment
gora	mountain
grCka arhitektura	greek architecture
sivi Cuk	little owl
prijem lopte donjim podlaktiCnim odbijanjem	bump reception
troSkovi isplate rente	annuity expenses
vrSni uCinak	ceiling effect
punan	crummy
usavrSene	improved
neuklonjiva pogreSka	non-recoverable error
doviDenja!	so long!
teCni SeGer	syrup
zastara	statute of limitation
koji odgovara na zahtjev	responder
uskraGivanje	failure to provide
crna buba	black beetle
otpornost na starenje	stable against age
plastiCnost mozga	brain plasticity
imati ukus	smack
osrednji	passable
dramaturgija	dramaturgy
mjera disperzije (fedinga)	dispersion ratio
zamazati se	dirty
arteriovenske malformacije	arterio-venous malformations
debeljkast	squab
obaranje cijena	depreciation
nelinearna stabilnost savijanjem	nonlinear flexural stability
pravi podskup	proper subset
naCelo proporcionalnosti	principle of proportionality
nauCile	learned
spojni kabel	trunk cable
bioloSka aktivnost	biological activity
nauCilo	taught
tokarstvo	turnery
prasak boje	color burst
putnicima	travellers
nauCili	learned
favorizirati	leniency
posebni uvjeti	special terms
cijenjen	respected
kartonske ambalaZe	cardboard packaging
bez ozljede	injury-free
mjere za kontrolu zagaDenja	pollution control measures
rotacijski stupnjevi slobode	rotational degrees of freedom
skupina koja se bavi odreDenim problemom	special interest group
dopuStanje	allowing
magmatski postanak	magmatic origin
